
> cotizador-e3@0.1.0 dev
> next dev

▲ Next.js 16.2.4 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://172.25.192.1:3000
- Environments: .env
✓ Ready in 327ms

 GET /sw.js 404 in 39ms (next.js: 5ms, proxy.ts: 5ms, application-code: 29ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8/editar 200 in 386ms (next.js: 163ms, proxy.ts: 20ms, application-code: 203ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 213ms (next.js: 18ms, proxy.ts: 10ms, application-code: 186ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8/editar 200 in 209ms (next.js: 43ms, proxy.ts: 6ms, application-code: 160ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 449ms (next.js: 90ms, proxy.ts: 21ms, application-code: 337ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 427ms (next.js: 67ms, proxy.ts: 18ms, application-code: 342ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8/editar 200 in 474ms (next.js: 125ms, proxy.ts: 17ms, application-code: 331ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 289ms (next.js: 23ms, proxy.ts: 12ms, application-code: 254ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8/editar 200 in 282ms (next.js: 64ms, proxy.ts: 7ms, application-code: 211ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8/editar 200 in 319ms (next.js: 120ms, proxy.ts: 15ms, application-code: 184ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 154ms (next.js: 16ms, proxy.ts: 9ms, application-code: 129ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 350ms (next.js: 68ms, proxy.ts: 16ms, application-code: 266ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8/editar 200 in 161ms (next.js: 41ms, proxy.ts: 7ms, application-code: 114ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 373ms (next.js: 124ms, proxy.ts: 24ms, application-code: 224ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8/editar 200 in 430ms (next.js: 55ms, proxy.ts: 26ms, application-code: 349ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 239ms (next.js: 56ms, proxy.ts: 9ms, application-code: 173ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8/editar 200 in 248ms (next.js: 22ms, proxy.ts: 9ms, application-code: 217ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8/editar 200 in 315ms (next.js: 154ms, proxy.ts: 4ms, application-code: 157ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 332ms (next.js: 74ms, proxy.ts: 15ms, application-code: 242ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8/editar 200 in 280ms (next.js: 77ms, proxy.ts: 17ms, application-code: 186ms)
 GET /cotizaciones/cmq79547x00016wu65yh7vuv8 200 in 267ms (next.js: 154ms, proxy.ts: 4ms, application-code: 110ms)
